Название товара;Короткое описание товара;Полное описание товара;Скрыт ли товар на сайте?;Артикул;Цена продажи, без учёта скидок;Старая цена;Закупочная цена;Остаток;Ед. измерения;Изображения товара;Короткое SEO описание товара;Полное SEO описание товара;Заголовок страницы товара;Мета-тег keywords;Мета-тег description;URL переменная пути;Описание модификации товара;Идентификатор товара в магазине;Пользовательский идентификатор товара;Изображение модификации товара;Название х-ки товара №1;Значение х-ки товара №1;Название св-ва для модификации товара №1;Значение св-ва для модификации товара №1;Название св-ва для модификации товара №2;Значение св-ва для модификации товара №2
ЦируликТехнология 4 кл. Бумажный мир. Тетрадь для практических работ. (Бином);;;;978-5-9072400-3-2;467,50;0,00;444,20;1,00000;шт;https://i1.stat01.com/2/8121/181207990/6e1ffd/ciruliktehnologiya-4-kl-bumazhnyj-mir-tetrad-dlya-prakticheskih-rabot-binom.jpg;;;ЦируликТехнология 4 кл. Бумажный мир. Тетрадь для практических работ. (Бином);;;CirulikTehnologiya-4-kl-Bumazhnyj-mir-Tetrad-dlya-prakticheskih-rabot-Binom;;180031208;65656375;;год выпуска;2021;Автор;Цирулик Н.А., Цирулик Г.Э., Хлебникова С.И.;Издательство;Просвещение/Союз
Цирулик Технология 4кл. Ручное творчество ФГОС (ИД Федоров/ООО Развивающее обучение);;;1;;512,40;0,00;512,40;1,00000;шт;;;;Цирулик Технология 4кл. Ручное творчество ФГОС (ИД Федоров/ООО Развивающее обучение);;;Cirulik-Tehnologiya-4kl-Ruchnoe-tvorchestvo-FGOS-ID-Fedorov-OOO-Razvivayushhee-obuchenie;;180031207;55635213;;год выпуска;2019;Автор;Цирулик Н.А., Хлебникова С.И., Нагель О.И., Цирули;Издательство;ИД Федоров/ООО Развивающее обучение
Цирулик Технология 4кл. Ручное творчество ФГОС (Бином);;;1;978-5-9963-5605-8;955,50;0,00;955,50;1,00000;шт;;;;Цирулик Технология 4кл. Ручное творчество ФГОС (Бином);;;Cirulik-Tehnologiya-4kl-Ruchnoe-tvorchestvo-FGOS-Binom;;180031206;65653436;;год выпуска;2020;Автор;Цирулик Н.А., Хлебникова С.И., Нагель О.И., Цирули;Издательство;Просвещение/Союз
Цирулик Технология 4кл. Ручное творчество Р/Т Бумажный мир ФГОС (ИД Федоров);;;1;978-5-9072400-3-2;275,00;0,00;261,30;1,00000;шт;;;;Цирулик Технология 4кл. Ручное творчество Р/Т Бумажный мир ФГОС (ИД Федоров);;;Cirulik-Tehnologiya-4kl-Ruchnoe-tvorchestvo-R-T-Bumazhnyj-mir-FGOS-ID-Fedorov;;180031205;55603443;;год выпуска;2019;Автор;Цирулик, Хлебникова;Издательство;ИД Федоров
Улитко Учимся решать проектные задачи 4 класс. Рабочая тетрадь(ИД Федоров);;;1;978-5-3930201-5-6;115,00;0,00;109,30;1,00000;шт;;;;Улитко Учимся решать проектные задачи 4 класс. Рабочая тетрадь(ИД Федоров);;;Ulitko-Uchimsya-reshat-proektnye-zadachi-4-klass-Rabochaya-tetrad-ID-Fedorov;;180031204;55631456;;год выпуска;2019;Автор;Улитко В.В.;Издательство;ИД Федоров
Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 2. Что я знаю. Что я умею (ИД Федоров);;;1;978-5-09-087008-5;247,00;0,00;234,70;1,00000;шт;;;;Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 2. Что я знаю. Что я умею (ИД Федоров);;;Timofeeva-Okruzhayushhij-mir-4kl-Tetrad-proverochnyh-rabot-Chast-2-Chto-ya-znayu-Chto-ya-umeyu-ID-Fedorov-2;;180031203;65667721;;год выпуска;2021;Автор;Тимофеева А.Е.;Издательство;Просвещение/Союз
Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 2. Что я знаю. Что я умею (ИД Федоров);;;1;;45,67;0,00;45,67;1,00000;шт;;;;Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 2. Что я знаю. Что я умею (ИД Федоров);;;Timofeeva-Okruzhayushhij-mir-4kl-Tetrad-proverochnyh-rabot-Chast-2-Chto-ya-znayu-Chto-ya-umeyu-ID-Fedorov;;180031202;55621415;;год выпуска;2017;Автор;Тимофеева А.Е.;Издательство;ИД Федоров
Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 1. Что я знаю. Что я умею (ИД Федоров);;;1;978-5-09-087006-1;247,00;0,00;234,70;1,00000;шт;;;;Тимофеева Окружающий мир 4кл. Тетрадь проверочных работ Часть 1. Что я знаю. Что я умею (ИД Федоров);;;Timofeeva-Okruzhayushhij-mir-4kl-Tetrad-proverochnyh-rabot-Chast-1-Chto-ya-znayu-Chto-ya-umeyu-ID-Fedorov;;180031201;55621414;;год выпуска;2021;Автор;Тимофеева А.Е.;Издательство;Просвещение/Союз
Тарасова Литературное чтение 4 кл. Тетрадь диагностических тестовых работ (ИД Федоров);;;1;978-5-09-086297-4;224,40;0,00;213,20;1,00000;шт;;;;Тарасова Литературное чтение 4 кл. Тетрадь диагностических тестовых работ (ИД Федоров);;;Tarasova-Literaturnoe-chtenie-4-kl-Tetrad-diagnosticheskih-testovyh-rabot-ID-Fedorov;;180031200;55626647;;год выпуска;2021;Автор;Тарасова А.В.;Издательство;Просвещение/Союз
Свиридова Литературное чтение 4 кл. ч.2. ФГОС (Бином);;;1;978-5-9963-5625-6;955,50;0,00;955,50;1,00000;шт;;;;Свиридова Литературное чтение 4 кл. ч.2. ФГОС (Бином);;;Sviridova-Literaturnoe-chtenie-4-kl-ch-2-FGOS-Binom;;180031199;65653393;;год выпуска;2020;Автор;Свиридова В.Ю.;Издательство;Просвещение/Союз
Свиридова Литературное чтение 4 кл. ч.1. ФГОС (Бином);;;1;978-5-9963-5624-9;955,50;0,00;955,50;1,00000;шт;;;;Свиридова Литературное чтение 4 кл. ч.1. ФГОС (Бином);;;Sviridova-Literaturnoe-chtenie-4-kl-ch-1-FGOS-Binom;;180031198;65653392;;год выпуска;2020;Автор;Свиридова В.Ю.;Издательство;Просвещение/Союз
Свиридова Литературное чтение 4 кл. Рабочая тетрадь ч.2. ФГОС (ИД Федоров);;;1;978-5-09-084583-0;291,50;0,00;277,00;1,00000;шт;;;;Свиридова Литературное чтение 4 кл. Рабочая тетрадь ч.2. ФГОС (ИД Федоров);;;Sviridova-Literaturnoe-chtenie-4-kl-Rabochaya-tetrad-ch-2-FGOS-ID-Fedorov;;180031197;55613404;;год выпуска;2021;Автор;Самыкина;Издательство;Просвещение/Союз
Свиридова Литературное чтение 4 кл. Рабочая тетрадь ч.1. ФГОС (ИД Федоров);;;1;978-5-09-084581-6;291,50;0,00;277,00;1,00000;шт;;;;Свиридова Литературное чтение 4 кл. Рабочая тетрадь ч.1. ФГОС (ИД Федоров);;;Sviridova-Literaturnoe-chtenie-4-kl-Rabochaya-tetrad-ch-1-FGOS-ID-Fedorov;;180031196;55613403;;год выпуска;2021;Автор;Самыкина;Издательство;Просвещение/Союз
Самыкина Литературное чтение 4 кл.Что я знаю. Что я умею. Тетрадь проверочных работ (ИД Федоров);;;1;978-5-09-094191-4;302,50;0,00;287,40;1,00000;шт;;;;Самыкина Литературное чтение 4 кл.Что я знаю. Что я умею. Тетрадь проверочных работ (ИД Федоров);;;Samykina-Literaturnoe-chtenie-4-kl-Chto-ya-znayu-Chto-ya-umeyu-Tetrad-proverochnyh-rabot-ID-Fedorov;;180031195;55634920;;год выпуска;2021-2022;Автор;Самыкина С.В.;Издательство;Просвещение/Союз
Ригина Музыка 4кл. ФГОС (Бином);;;1;;955,50;0,00;955,50;1,00000;шт;;;;Ригина Музыка 4кл. ФГОС (Бином);;;Rigina-Muzyka-4kl-FGOS-Binom;;180031194;55577263;;год выпуска;2020;Автор;Ригина Г.С.;Издательство;Просвещение/Союз
