пп;Код;Автор;Наименование;Издат-во;ISBN;Станд.;Код аналога;Год;ФП;ФГОС;02 ИЗДАТЕЛЬСКИЙ ТИП ЦЕН;;03 Оптовая
1;65658559;Александрова О.М., Кузнецова М.И., Романова В.Ю. и;Александрова Литературное чтение на родном русском языке. 1 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090525-1;12; ;2021-2022; ; ;704.6;;669.4
2;65663232;Александрова О.М., Беляева Н. В., Кузнецова М.И. и;Александрова Литературное чтение на родном русском языке. 2 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090526-8;16; ;2022; ; ;704.6;;669.4
3;65663233;Александрова О.М., Беляева Н. В., Кузнецова М.И.,;Александрова Литературное чтение на родном русском языке. 3 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-094467-0;12; ;2021; ; ;704.6;;669.4
4;65663234;Александрова О.М., Беляева Н. В., Кузнецова М.И.,;Александрова Литературное чтение на родном русском языке. 4 класс. Учебное пособие (Просв.);Просвещение/Союз;978-5-09-090527-5;20; ;2022; ; ;704.6;;669.4
5;65655618;Александрова О. М., Кузнецова М. И., Петленко Л. В;Александрова Русский родной язык  1-4 класс. Примерные рабочие программы (Просв.);Просвещение;978-5-09-088088-6;40; ;2022; ;ФГОС;119.9;;114
6;65678317;Александрова М., М.И. Кузнецова, Л.В. Петленко, В.;Александрова Русский родной язык 1 класс. Практикум (Просв.);Просвещение;978-5-09-090733-0;20; ;2022; ;ФГОС; ;; 
7;65647520;Александрова О.М. и др.;Александрова Русский родной язык 1 класс. Учебник (Просв.);Просвещение;978-5-09-088089-3;20; ;2021-2022;ФП;ФГОС;727.7;;727.7
8;65678318;Александрова М., М.И. Кузнецова, Л.В. Петленко, В.;Александрова Русский родной язык 2 класс. Практикум (Просв.);Просвещение; ;20; ;2022; ;ФГОС; ;; 
9;65647521;Александрова О.М. и др.;Александрова Русский родной язык 2 класс. Учебник (Просв.);Просвещение;978-5-09-087896-8;18; ;2021-2022;ФП;ФГОС;727.7;;727.7
10;65647522;Александрова О.М. и др.;Александрова Русский родной язык 3 класс. Учебник (Просв.);Просвещение;978-5-09-087898-2;14; ;2021-2022;ФП;ФГОС;727.7;;727.7
11;65647523;Александрова О.М. и др.;Александрова Русский родной язык 4 класс. Учебник (Просв.);Просвещение;978-5-09-077761-2;16; ;2021;ФП;ФГОС;727.7;;727.7
12;55639975;Анастасова Л.П., Ижевский П.В., Иванова Н.В.;"Анастасова (Перспектива) ОБЖ 1 кл. Рабочая тетрадь(ФП2019 ""ИП"")  (Просв.)";Просвещение/Союз;978-5-09-079314-8;20;55588166;2021; ;ФГОС;244.2;;232
13;55588167;Анастасова Л.П., Ижевский П.В., Иванова Н.В.;"Анастасова (Перспектива) ОБЖ 2 кл. Р/Т (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-078585-3;25; ;2021; ;ФГОС;244.2;;232
14;55558556;Ижевский П.В.;"Анастасова (Перспектива) ОБЖ 3 кл. Р/Т(ФП2019 ""ИП"")(Просв.)";Просвещение/Союз;978-5-09-078586-0;30; ;2021; ;ФГОС;244.2;;232
15;55643926;Ижевский П.В.;"Анастасова (Перспектива) ОБЖ 4 кл. Р/Т(ФП2019 ""ИП"") (Просв.)";Просвещение/Союз;978-5-09-078587-7;30; ;2021; ;ФГОС;244.2;;232
16;55585906;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 1 кл. (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090039-3;40; ;2022; ;ФГОС;214.5;;203.8
17;55595057;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 2 кл.(ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090043-0;40; ;2020-2021; ;ФГОС;213.4;;202.8
18;55639977;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 3 кл. (ФП2019 ""ИП"")(Просв.)";Просвещение;978-5-09-090047-8;40; ;2022; ;ФГОС;213.4;;202.8
19;55606063;Волкова С.И.;"Волкова (Школа России) Матем. и конструирование 4 кл.(ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090053-9;40; ;2021-2022; ;ФГОС;213.4;;202.8
20;55600534;Волкова С.И.;"Волкова (Школа России) Математика 1-4 кл. Контрольные работы (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090036-2;60; ;2021-2022; ;ФГОС;189.8;;180.3
21;55578837;Волкова С.И.;"Волкова (Школа России) Математика 1кл. Тесты (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-090037-9;40; ;2022; ;ФГОС;178.2;;169.3
22;55619613;Волкова С.И.;"Волкова (Школа России) Математика 1кл. Тетрадь учебных достижений (ФП2019 ""ИП"") (Просв.)";Просвещение;978-5-09-078099-5;52; ;2020-2021; ;ФГОС;208.5;;198.1
